t,temp,humd
114738,25.7,39.7
114739,25.7,39.7
114740,25.7,39.6
114741,25.7,39.6
114742,25.7,39.6
114743,25.7,39.6
114744,25.7,39.6
114745,25.7,39.7
114746,25.7,39.7
114747,25.7,39.6
114748,25.7,39.7
114749,25.7,39.7
114750,25.6,39.7
114751,25.7,39.8
114753,25.6,39.8
114754,25.7,39.8
114755,25.6,39.7
114756,25.6,39.7
114757,25.7,39.7
114758,25.6,39.7
114759,25.7,39.7
114800,25.6,39.7
114801,25.6,39.7
114802,25.6,39.7
114803,25.7,39.7
114804,25.6,39.8
114805,25.7,39.8
114806,25.6,39.8
114807,25.6,39.8
114808,25.6,39.8
114810,25.6,39.8
114811,25.6,39.8
114812,25.6,39.8
114813,25.6,39.7
114814,25.6,39.7
114815,25.6,39.7
114816,25.6,39.8
114817,25.6,39.8
114818,25.6,39.8
114819,25.6,39.8
114820,25.6,39.8
114821,25.6,39.8
114822,25.6,39.9
114823,25.6,39.9
114824,25.6,39.9
114825,25.6,39.9
114827,25.6,39.9
114828,25.6,39.9
114829,25.6,39.9
114830,25.6,39.9
114831,25.6,39.9
114832,25.6,39.9
114833,25.6,39.9
114834,25.6,39.8
114835,25.6,39.8
114836,25.6,39.8
114837,25.6,39.8
114838,25.6,39.8
114839,25.6,39.8
114840,25.6,39.8
114841,25.6,39.8
114843,25.6,39.8
114844,25.6,39.8
114845,25.6,39.8
114846,25.6,39.8
114847,25.6,39.8
114848,25.6,39.8
114849,25.6,39.8
114850,25.6,39.8
114851,25.6,39.8
114852,25.6,39.7
114853,25.6,39.7
114854,25.6,39.7
114855,25.6,39.7
114856,25.6,39.7
114857,25.6,39.7
114858,25.6,39.8
114900,25.6,39.8
114901,25.6,39.8
114902,25.6,39.8
114903,25.6,39.8
114904,25.6,39.8
114905,25.6,39.8
114906,25.6,39.8
114907,25.6,39.8
114908,25.6,39.7
114909,25.6,39.7
114910,25.6,39.7
114911,25.6,39.7
114912,25.6,39.7
114913,25.6,39.7
114914,25.6,39.7
114915,25.6,39.7
114917,25.6,39.7
114918,25.6,39.8
114919,25.6,39.8
114920,25.6,39.8
114921,25.6,39.8
114922,25.6,39.8
114923,25.6,39.8
114924,25.6,39.8
114925,25.6,39.8
114926,25.6,39.8
114927,25.6,39.8
114928,25.6,39.8
114929,25.6,39.8
114930,25.6,39.8
114931,25.6,39.8
114932,25.6,39.9
114934,25.6,39.9
114935,25.6,39.8
114936,25.6,39.8
114937,25.6,39.8
114938,25.6,39.8
114939,25.6,39.8
114940,25.6,39.8
114941,25.6,39.8
114942,25.6,39.9
114943,25.6,39.9
114944,25.6,39.9
114945,25.6,39.9
114946,25.6,39.9
114947,25.6,39.8
114948,25.6,39.9
114949,25.6,39.9
114951,25.6,39.8
114952,25.6,39.8
114953,25.6,39.8
114954,25.6,39.8
114955,25.6,39.8
114956,25.6,39.8
114957,25.6,39.7
114958,25.6,39.7
114959,25.6,39.7
115000,25.6,39.7
115001,25.6,39.8
115002,25.6,39.8
115003,25.6,39.8
115004,25.6,39.8
115005,25.6,39.8
115006,25.6,39.7
115008,25.6,39.7
115009,25.6,39.7
115010,25.5,39.7
115011,25.6,39.7
115012,25.6,39.7
115013,25.6,39.7
115014,25.6,39.8
115015,25.6,39.8
115016,25.5,39.8
115017,25.6,39.8
115018,25.6,39.8
115019,25.6,39.8
115020,25.6,39.8
115021,25.6,39.8
115022,25.6,39.8
115023,25.6,39.8
115025,25.6,39.8
115026,25.5,39.8
115027,25.6,39.8
115028,25.5,39.8
115029,25.5,39.9
115030,25.5,39.9
115031,25.5,39.9
115032,25.5,39.9
115033,25.6,39.9
115034,25.5,39.9
115035,25.5,39.9
115036,25.5,39.9
115037,25.5,39.9
115038,25.5,39.8
115039,25.5,39.8
115040,25.6,39.8
115042,25.5,39.8
115043,25.5,39.8
115044,25.5,39.8
115045,25.5,39.8
115046,25.5,39.8
115047,25.5,39.9
115048,25.5,39.9
115049,25.5,39.9
115050,25.5,39.9
115051,25.5,39.8
115052,25.5,39.8
115053,25.5,39.8
115054,25.5,39.8
115055,25.5,39.8
115056,25.5,39.8
115058,25.5,39.8
115059,25.5,39.8
115100,25.5,39.8
115101,25.5,39.8
115102,25.5,39.8
115103,25.5,39.9
115104,25.5,39.9
115105,25.5,39.9
115106,25.5,39.9
115107,25.5,39.9
115108,25.5,39.9
115109,25.5,39.9
115110,25.5,39.9
115111,25.5,39.9
115112,25.5,39.9
115113,25.5,39.8
115115,25.5,39.8
115116,25.5,39.8
115117,25.5,39.8
115118,25.5,39.8
115119,25.5,39.8
115120,25.5,39.8
115121,25.5,39.8
